"X","years","sport","sex","ss01","ss02","ss03","ss04","ss05","ss06","ss07","ss08","ss09","ss10","ss11","ss12","ppfi_j00","ppfi_j01","ppfi_j02","ppfi_j03","ppfi_j04","ppfi_j05","ppfi_j06","ppfi_j07","ppfi_j08","ppfi_j09","ppfi_j10","ppfi_j11","ppfi_j12","ppfi_j13","ppfi_j14","ppfi_j15","panas01","panas02","panas03","panas04","panas05","panas06","panas07","panas08","panas09","panas10","panas11","panas12","panas13","panas14","panas15","panas16","panas17","panas18","panas19","panas20"
"103","13年","野球","男性",4,1,1,2,2,3,3,2,0,2,4,2,"日本一になること
",1,1,1,1,1,4,3,3,3,3,5,3,3,3,3,4,4,1,3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"104","9年","バドミントン","男性",2,2,2,3,2,2,3,1,1,1,2,2,"インカレ出場",0,3,3,4,3,2,3,1,4,4,3,2,3,3,3,1,3,2,3,3,1,3,3,4,2,3,2,4,2,2,1,4,3,3,3
"105","10年","硬式野球","男性",1,0,0,1,4,4,4,4,3,1,4,4,"日本一",0,1,2,2,0,6,6,6,6,6,6,6,6,4,6,5,3,4,0,0,1,3,5,3,5,5,5,5,5,3,4,5,3,4,3
"106","12","硬式野球","男性",2,2,2,4,2,4,4,3,3,3,3,2,"自分のやるべきことをする",3,4,2,1,1,5,6,5,3,5,3,6,3,3,4,2,3,1,2,2,1,3,3,3,3,2,2,2,2,2,2,3,2,2,3
"107","14年","バスケットボール","女性",2,1,1,1,3,3,3,3,1,1,2,1,"チーム一丸となって戦う。",2,3,2,2,4,4,4,4,4,4,2,2,2,4,4,2,3,2,2,2,2,2,2,1,2,2,3,3,3,2,2,3,2,3,3
"108","８年","陸上","男性",0,0,1,1,3,3,1,1,0,0,0,0,"自己ベスト更新",0,0,6,6,6,6,6,6,6,6,3,3,6,6,6,2,2,2,2,2,5,0,4,3,4,5,5,5,5,2,5,5,5,5,5
"109","7","ウエイトリフティング","男性",4,4,4,3,3,4,4,4,4,4,4,3,"ウエイトリフティングでの記録で諦めず日々伸ばしていくところが目標",0,0,0,0,0,3,4,0,0,6,3,3,3,4,3,4,5,0,4,0,0,4,4,3,3,3,5,4,4,0,3,4,0,3,4
"110","14年","サッカー","男性",1,1,0,2,3,3,2,3,0,0,1,2,"試合に出場したときにゴールに関わる",1,0,0,0,2,2,5,4,4,5,5,6,5,4,5,1,4,2,3,2,3,4,5,4,4,4,4,2,5,0,4,4,0,3,4
"111","９","軟式野球","男性",2,1,1,2,3,3,3,3,2,2,3,2,"チーム一丸となって守備も攻撃も繋ぐ",1,1,0,1,1,5,4,2,4,4,5,4,2,2,1,4,4,1,2,1,1,3,1,0,4,4,3,2,3,3,0,3,1,1,3
"112","9","サッカー","女性",3,2,1,3,3,3,2,2,1,2,2,3,"チームに貢献する。",4,4,4,4,1,3,4,3,2,2,4,3,2,2,4,3,3,1,3,1,1,3,3,4,4,3,4,3,4,1,3,4,1,4,2
"113","19","体操","男性",4,4,4,3,3,4,3,2,3,4,3,4,"結果を残すこと",4,4,5,4,5,6,3,5,4,5,6,4,5,4,6,4,4,1,4,1,0,4,3,2,3,2,3,4,3,0,3,2,4,2,3
"114","１０","女子バレーボール","女性",1,1,2,2,3,3,3,2,1,1,0,2,"東北リーグで優勝して、インカレに出場する。",1,1,1,1,1,1,6,1,4,4,6,5,6,2,6,1,5,0,4,1,1,4,3,1,4,4,4,4,4,1,1,3,1,4,1
"115","14年","サッカー","男性",4,4,3,4,4,4,4,1,3,3,3,4,"観客を魅了する",0,0,0,0,0,6,6,6,6,0,6,0,0,0,6,5,0,0,5,0,0,5,5,5,5,5,5,5,5,0,5,5,0,5,5
"116","16","新体操","女性",2,2,3,2,3,3,1,1,2,1,3,2,"全カレにむけていい準備をする。",1,2,1,3,2,3,3,2,3,1,1,5,4,2,4,4,3,1,2,2,2,2,3,2,3,3,4,3,2,0,0,3,1,1,3
"117","14","サッカー","女性",3,2,1,2,3,3,3,2,2,2,2,2,"自分のプレー（ドリブル・パス・シュート）でチームの勝利に貢献し、サッカーをやっている自分もしくは自分たちだけではなく、その試合を観ている人が楽しいと思えるようにすること。",2,2,2,2,2,4,4,2,4,4,4,4,3,4,2,2,4,2,3,2,2,3,2,1,3,3,4,4,3,1,2,4,1,3,3
"118","7","体操競技","男性",2,3,1,1,3,3,3,1,2,2,3,3,"日本代表",5,3,5,4,4,1,5,5,2,1,6,2,1,0,0,5,5,1,5,0,4,5,5,0,5,4,5,5,5,3,4,5,1,4,1
"119","13","バスケットボール","女性",1,1,3,2,3,3,2,0,1,1,2,2,"積極的に攻める。",2,3,2,2,2,2,4,2,2,4,4,4,4,4,3,3,3,2,2,2,3,2,3,3,3,3,4,3,3,2,3,3,2,3,3
"120","１０","バスケットボール","男性",2,2,2,1,2,3,3,3,1,2,2,1,"インカレベスト８",2,2,2,1,2,3,5,3,3,3,3,3,4,3,2,3,4,1,2,2,2,3,3,2,3,3,3,3,3,2,2,2,1,2,3
"121","10","バスケットボール","男性",2,2,3,3,3,3,3,2,2,2,2,3,"大会で優勝する。",2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,3,3,3,2,3,2,2,2,3,3,3,3,2,3,3,3,2,3,4
"122","14","硬式野球","男性",1,1,3,2,3,3,3,3,1,1,1,3,"長く続けている野球だが引退する時には野球のことが今以上に好きで終われるようにすることが目標",0,0,0,0,0,6,6,0,3,3,6,6,4,3,3,5,3,2,4,1,1,4,4,4,4,4,2,3,2,1,3,5,2,1,4
"123","11ねん","ハンドボール","男性",4,3,4,4,4,4,3,3,3,3,3,3,"関東のチームに勝つ",0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,4,4,3,4,2,2,4,4,4,4,2,4,4,4,0,3,4,1,2,4
"124","１２","バスケットボール","女性",2,2,2,2,3,3,3,1,2,2,2,3,"東北１位で全国大会に出ること",2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
"125","12年","野球","男性",3,1,2,4,3,4,3,1,3,3,1,3,"変化球を自由自在に投げれる",4,4,2,2,2,1,4,4,4,4,2,1,2,2,2,4,4,3,4,3,1,4,4,1,2,2,5,5,5,1,0,3,1,4,1
"126","５年","ラグビー","男性",2,2,2,3,3,3,4,3,3,3,2,3,"最後まで全力で",1,1,0,1,2,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,3,3,4,0,2,3,3,4,4
"127","5年","陸上競技","男性",3,3,4,4,4,4,4,4,3,3,3,3,"世界進出",0,1,0,1,0,0,5,5,1,5,4,6,1,1,2,3,5,0,4,0,1,4,3,4,5,5,5,3,5,1,1,5,0,1,3
"128","7","ハンドボール","男性",3,2,2,3,3,3,3,3,3,3,3,2,"全国来会で勝つ",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,1,3,1,3,3,2,3,4,3,2,4,2,1,4,3
"129","９","おこなってた","女性",2,2,2,3,3,4,3,2,1,2,1,3,"楽しむ",1,4,0,0,1,3,4,1,2,4,4,4,6,4,5,3,3,0,4,0,0,5,3,4,4,3,5,4,3,1,2,4,1,3,4
"130","13","サッカー","男性",2,2,2,2,1,1,1,1,0,1,1,1,"試合に出る",3,4,2,4,4,3,3,2,4,2,3,2,4,3,3,3,3,1,4,1,1,4,4,1,4,1,3,3,3,1,2,3,2,3,3
"131","14年","バレーボール","男性",1,1,1,3,4,3,3,1,1,1,0,3,"日本一",1,0,0,0,0,0,4,0,2,4,4,5,2,1,0,4,5,0,1,0,0,4,3,3,5,4,4,1,3,0,0,4,0,3,3
"132","15年","サッカー","男性",3,3,3,3,3,4,3,2,3,3,2,3,"プロサッカー選手になること",0,0,0,0,0,5,5,4,5,4,6,6,4,5,5,2,5,0,4,1,1,4,5,3,5,4,5,3,4,1,3,5,1,3,3
"133","8年","陸上競技","男性",0,0,3,2,3,4,4,1,0,2,2,2,"国民体育大会やインターカレッジなどの上位の大会に出場して10秒台で勝負すること",0,0,0,3,0,3,6,6,5,6,6,5,6,3,3,3,3,1,4,0,1,4,4,3,4,5,5,3,4,1,1,4,3,4,4
"134","11","硬式野球","男性",1,0,3,3,1,4,3,3,3,0,3,1,"信頼獲得",1,3,1,1,2,2,4,2,1,1,1,1,4,4,1,1,4,1,2,3,1,2,4,2,2,4,1,3,1,3,4,2,1,1,3
"135","４","ボート","男性",3,3,3,3,3,3,3,3,2,3,3,2,"インカレ優勝",1,1,1,1,1,1,3,1,2,4,4,3,4,3,3,3,4,1,3,1,1,3,4,2,4,2,3,2,3,1,1,4,1,3,2
"136","13年","サッカー","男性",3,2,2,3,4,4,4,2,1,1,3,0,"今季上のリーグに昇格する",1,6,2,3,3,2,4,2,4,2,4,4,4,3,3,4,4,1,4,1,1,4,4,4,4,4,4,4,4,1,4,4,1,4,4
"137","11年","サッカー","男性",2,1,2,2,2,3,4,1,1,2,1,2,"卒業時プロサッカー選手になっている。",0,0,0,0,0,0,0,0,0,6,5,4,4,5,4,2,4,1,3,0,0,4,4,3,5,4,5,4,5,0,0,5,0,0,3
"139","14","女子硬式野球","女性",1,1,1,2,3,3,1,1,2,1,3,2,"全国大会で優勝",2,1,0,1,2,4,4,2,4,2,4,5,4,2,4,3,2,2,2,2,2,3,3,2,3,3,3,2,2,3,3,3,3,3,3
"142","13","サッカー","男性",1,1,0,3,3,4,3,1,1,1,1,1,"リーグ戦昇格",2,4,2,2,1,4,5,4,5,5,6,3,4,2,4,3,4,2,4,2,3,3,4,4,3,2,4,3,4,2,1,5,1,3,4
"143","12年","硬式野球","男性",3,3,2,2,3,3,3,3,2,2,2,2,"プロに行き、活躍すること。",3,1,0,0,0,0,0,0,3,3,4,4,3,4,5,2,2,1,1,2,2,4,4,4,4,4,4,2,4,3,3,4,2,2,4
"144","13年","野球","男性",0,0,0,0,1,3,1,1,1,1,1,1,"全国で勝つ",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2
"145","１１","野球","男性",0,0,0,2,3,3,3,3,1,2,3,1,"楽しく健康を維持するための身体づくりが重要な目標",2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,3,4,3,3,4,3,4,3,4,3,3,3,4,3
"146","10","野球","男性",2,1,1,3,2,2,2,1,1,2,1,3,"春秋神宮大会出場",3,3,3,3,2,4,3,2,3,4,2,3,4,3,3,3,3,2,3,2,2,3,3,3,2,3,2,3,3,3,3,3,2,2,3
"148","14","サッカー","男性",2,2,3,3,3,4,1,2,0,1,2,3,"チームスポーツなので全員で勝つ",1,0,0,0,2,3,4,2,2,3,5,4,3,6,4,0,4,1,3,0,0,4,5,3,3,4,5,3,5,0,1,5,1,1,1
"149","12","サッカー","男性",3,3,3,3,3,4,4,1,1,3,3,3,"勝ちにこだわって、負けない",4,2,2,2,5,4,4,2,4,4,4,4,4,5,4,3,4,1,4,3,3,4,4,4,4,3,4,3,3,2,3,4,1,1,1
"150","９","ハンドボール","男性",2,2,2,2,3,2,2,1,3,2,2,2,"優勝",3,3,3,3,2,2,4,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"151","13年","野球","男性",3,3,2,2,3,3,3,3,2,3,2,3,"秋のリーグ戦で打率3割を記録する",5,2,2,2,1,3,4,3,3,4,6,4,4,3,4,4,4,2,4,2,1,4,4,3,4,3,4,4,4,0,2,4,1,4,3
"152","11","サッカー","男性",2,3,2,3,3,4,3,4,3,3,3,3,"協調性",4,0,2,2,0,4,4,4,3,5,3,4,4,3,1,1,3,2,2,1,1,3,3,1,4,3,4,2,3,2,1,3,1,3,4
"153","11","陸上","女性",3,3,4,3,3,3,3,3,3,3,3,3,"日々努力し自己記録を更新して大学に貢献する。",1,1,1,1,1,1,4,5,2,4,4,4,4,4,2,4,4,3,4,3,2,3,2,2,4,3,3,2,3,2,2,2,2,2,4
"154","13","baseball","男性",2,2,2,2,2,2,2,2,2,2,2,2,"日本一",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,2,3,2,2,5,5,5,5,5,5,5,5,5,5,5,3,3,3
"155","16年","新体操","女性",3,3,1,3,3,4,3,1,3,3,4,3,"全日本新体操選手権に出場する",2,0,0,1,1,3,6,2,4,5,6,6,6,1,5,2,4,1,4,1,1,5,0,4,3,4,5,1,1,0,2,4,0,2,4
"156","14","サッカー","男性",2,2,2,2,2,3,4,1,2,2,2,2,"継続",6,0,2,0,0,0,3,3,3,3,4,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"157","11","硬式野球","男性",2,1,1,1,2,4,4,2,0,0,2,4,"勝つ
",0,0,0,0,0,0,0,6,6,2,6,3,6,6,6,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"158","9","バドミントン9","男性",3,3,4,4,4,3,4,4,3,4,3,4,"インカレで１回戦でも多く勝つ",2,1,0,0,0,4,5,5,2,5,2,2,1,2,2,3,4,0,4,1,1,5,5,5,5,4,5,3,5,0,0,5,0,2,4
"160","１３","バスケットボール","女性",1,1,1,2,2,3,3,2,1,1,0,3,"ガードそしての役割を果たすこと",2,2,3,4,2,4,4,3,4,4,2,6,4,1,2,2,2,5,1,2,4,2,3,4,3,3,4,3,2,0,4,3,3,4,3
"161","9年","体操","女性",1,1,1,1,1,1,1,1,1,1,1,2,"全日本インカレにでる",2,3,3,4,4,4,3,3,4,2,4,4,3,4,4,3,2,2,1,2,3,2,3,3,2,3,3,2,3,3,4,3,2,2,2
"162","1","ビーチバレーボール","男性",3,3,2,3,3,4,3,3,2,3,3,4,"課題点をみつけ、日々成長すること",0,2,3,5,3,5,4,3,2,3,1,3,1,4,1,4,2,2,4,2,3,3,3,2,4,4,1,4,1,4,2,4,2,4,4
"163","14年","野球","男性",3,4,2,3,2,4,3,1,1,1,3,2,"全国優勝",2,2,2,2,2,4,4,3,5,3,4,4,3,4,4,3,2,0,3,2,1,4,3,4,3,4,3,4,5,2,4,4,2,4,4
"164","11","野球","男性",2,1,2,3,4,4,4,2,1,1,2,2,"縦縞のユニフォームを着てベンチ入りし、グラウンドで野球をする。",1,0,0,0,0,1,3,1,0,3,6,6,1,3,1,5,5,0,3,0,0,3,3,3,3,4,5,5,3,1,2,5,2,4,4
"165","8年","硬式野球","男性",1,2,1,3,3,4,2,1,0,1,2,3,"リーグ戦でベストナインをとること",1,2,2,4,4,4,4,2,4,3,5,6,3,4,5,4,2,3,3,3,1,2,3,4,4,5,5,2,4,3,4,5,4,2,5
"168","8年","陸上競技","男性",3,3,3,3,2,4,1,3,0,3,0,3,"世界進出",1,0,0,4,4,3,4,2,3,2,4,2,3,2,0,5,4,4,2,4,4,3,4,4,5,3,4,3,4,1,2,5,2,3,5
"169","1","ボクシング","男性",3,1,3,2,2,3,3,3,3,3,3,3,"やる気をだす",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,4,1,1,1,3,1,3,3,3,3,3,3,3,3,1,1,1
"170","2","フロアボール","女性",2,1,1,2,2,3,2,1,1,1,3,3,"試合で得点王になること",2,2,1,3,3,1,4,4,4,4,2,3,3,1,1,3,4,4,2,3,3,3,3,3,3,3,4,3,4,5,5,5,5,4,4
"171","7年","バドミントン","女性",2,2,3,3,3,3,1,1,3,2,3,3,"団体メンバーには入っているけど試合には出れていないのでそこでまず出れるような選手になる。",3,3,2,1,2,3,4,4,4,4,4,4,4,4,4,3,3,1,1,2,1,3,2,2,2,2,2,2,2,2,3,3,2,2,2
"172","10","野球","男性",2,1,3,3,3,2,3,1,1,2,3,2,"スタメンをとる",2,2,2,2,2,3,3,2,2,2,4,4,4,3,4,2,3,2,3,2,1,3,3,2,3,3,3,2,3,2,2,3,2,3,2
"174","7","陸上","男性",3,2,3,3,2,3,3,2,2,3,3,2,"自己ベストをだす",0,6,3,4,4,2,4,2,4,5,3,5,5,4,4,3,4,3,4,3,3,2,1,1,5,5,3,3,3,1,4,4,3,3,3
"175","７","陸上競技","男性",2,1,2,2,2,2,2,2,2,2,2,2,"100mで10秒中盤",2,2,2,2,2,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"176","13","ハンドボール","男性",3,1,3,2,3,2,3,3,3,2,3,3,"ハンドボールのスポーツ人口を増やすという目標",4,4,4,4,3,3,4,3,4,4,4,3,4,4,3,3,4,3,4,3,2,3,4,3,3,3,3,3,3,2,2,2,3,3,3
"177","10年","水泳","男性",1,1,0,0,2,1,1,1,0,0,2,0,"頑張る意思",4,2,2,2,2,2,2,2,2,1,3,3,4,2,0,1,3,0,0,5,0,3,3,3,2,4,4,4,2,2,2,2,0,0,0
"178","9年","サッカー","男性",2,1,3,1,1,1,2,2,3,2,3,3,"優勝",2,4,3,3,2,2,4,3,3,3,3,3,2,4,2,4,1,4,1,4,4,2,4,3,4,5,1,2,3,3,5,3,2,4,3
"179","10","女子野球","女性",3,2,3,4,3,4,3,1,2,2,1,4,"日本代表の選手になること",1,0,0,0,0,0,5,3,4,3,6,6,6,6,3,0,5,1,3,1,2,3,3,4,5,5,5,4,3,0,5,4,0,3,5
"180","10","硬式野球","女性",3,1,1,1,1,3,3,2,2,1,3,1,"女子野球の普及",2,2,2,3,2,4,4,3,3,3,3,3,3,3,3,2,4,2,2,2,2,4,2,2,2,4,4,2,4,2,2,4,2,2,2
"181","11","野球","男性",2,2,2,2,3,3,2,2,0,1,3,4,"プロ野球選手",0,0,0,0,0,6,4,0,4,6,6,6,6,3,6,3,5,0,5,0,0,5,5,0,5,0,5,5,5,0,3,5,0,3,5
"182","４年","陸上短距離","男性",1,0,2,1,2,2,2,3,1,1,1,2,"手術明けなのでまずは全力で走ることができるようになるまで体を戻すこと。",0,0,0,0,0,0,0,0,0,5,5,6,6,6,6,4,3,2,3,1,1,4,3,3,5,5,5,4,5,4,4,3,2,2,4
"183","７","サッカー","男性",3,2,3,3,3,4,4,4,3,3,4,3,"トップチーム昇格して試合に出場する",0,0,0,0,0,6,6,6,6,6,5,6,6,6,6,0,5,0,5,2,2,5,5,5,5,5,5,2,4,0,0,4,0,0,2
"184","１４","バスケットボール　　","女性",3,3,2,3,3,4,3,4,0,3,1,3,"やらされてるバスケをするのではなく、心から楽しんで自分たちで考えて頭を使ってバスケットボールをする。そして、勝ちにこだわる。",3,4,2,4,4,2,3,3,3,4,3,4,3,3,3,4,5,4,3,4,4,4,4,2,3,3,4,4,4,4,2,5,2,2,2
"185","10","サッカー","男性",3,3,3,3,3,4,3,2,2,2,1,2,"プロサッカー選手になる
",0,0,0,0,0,4,4,0,0,4,6,6,5,6,6,1,4,0,5,0,0,5,5,1,5,5,5,4,5,0,3,5,0,5,1
"186","１２年","陸上のやり投げ","女性",1,1,1,3,1,1,1,1,1,1,3,1,"全カレベスト８",2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,4,4,2,4,4,4,2,4,4,4,2,2,2,2,4,4,4,3,3
"187","8","バスケ","男性",2,3,2,3,2,3,2,2,2,2,3,2,"少しの時間質の高いパフォーマンスができる",3,3,3,4,3,3,3,4,3,3,3,3,4,3,3,3,2,3,2,3,2,2,2,2,2,3,2,3,2,3,2,2,2,2,3
"188","15","サッカー","男性",3,3,4,3,4,4,4,3,3,3,4,3,"トレーニング外のことを忠実に行う",1,1,1,2,1,2,1,2,2,2,3,3,4,4,4,2,4,2,3,2,2,4,4,4,4,2,4,4,4,2,2,4,2,4,3
"189","8","バレーボール","男性",2,2,3,1,2,2,3,3,3,1,4,2,"試合に勝つ
",4,5,3,4,3,4,5,2,3,5,4,1,2,3,3,3,3,2,2,2,2,3,3,3,3,2,2,3,2,3,1,2,2,2,0
"190","8年","ソフトテニス","男性",3,3,2,4,3,3,4,3,1,2,2,3,"インカレ32",3,2,3,2,2,3,4,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,3,2,3,3,3,2,2,2,3,2,2,2
"191","4","バスケ","男性",1,1,3,2,2,4,4,3,3,1,2,0,"楽しんで健康になる",1,6,1,1,1,6,4,2,6,6,1,6,0,0,0,3,4,5,1,3,3,3,3,1,1,3,3,1,4,4,4,4,0,0,0
"192","9","野球","男性",4,2,3,3,4,4,4,2,2,2,3,2,"頼られる選手になる",0,0,0,0,0,3,4,0,3,3,0,6,0,0,0,1,5,1,3,1,1,3,3,0,3,0,4,3,3,0,0,4,0,0,5
"193","11","野球","男性",1,1,0,0,0,3,2,2,2,2,2,4,"Aチームに上がる事",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"194","14","サッカー","無回答",3,3,3,1,3,3,3,1,1,1,3,3,"昇格",6,6,5,1,5,1,5,1,1,5,5,5,5,1,1,4,4,1,4,1,4,1,4,1,4,4,4,4,4,4,4,4,4,4,4
"195","13","体操","男性",2,1,3,2,3,4,4,1,1,2,1,2,"インカレ出場",1,1,0,1,1,1,3,3,3,4,4,4,3,3,3,4,3,2,3,2,3,3,3,3,4,4,4,3,4,3,2,4,2,3,3
"196","12年","サッカー","男性",1,1,1,1,3,1,0,0,1,1,0,1,"リーグ戦昇格",2,1,2,4,4,2,1,2,4,2,4,1,4,1,1,2,3,1,1,1,1,3,1,3,1,4,1,2,1,4,4,2,2,4,2
"197","11","バレーボール","男性",1,1,1,1,3,3,4,1,3,4,1,3,"全日本インカレベスト8",2,2,1,1,5,1,5,5,5,2,4,4,5,2,5,3,4,2,4,2,2,3,3,3,3,1,3,4,4,3,3,3,3,4,2
"199","9","野球","男性",3,3,2,3,3,3,3,3,3,3,3,3,"全員と楽しむ",1,1,2,2,5,2,2,1,1,5,5,1,2,1,2,4,4,4,4,1,1,4,4,1,4,1,4,4,1,4,4,4,1,3,3
"200","8","体操競技","女性",1,1,1,1,2,3,1,1,1,1,1,1,"競技復帰",4,2,4,4,4,4,2,3,4,3,2,2,4,4,2,3,2,4,2,2,2,3,2,2,2,3,2,2,2,3,3,2,2,2,3
"201","13年","サッカー","男性",4,4,4,4,4,4,4,4,4,4,4,4,"自分の力で試合の流れを変えられる選手になる。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"202","15年","剣道","女性",0,0,0,0,0,0,0,2,0,0,0,0,"どんな相手にも臨機応変に対応できる選手になること",6,6,6,6,6,2,0,0,6,0,0,0,0,0,0,0,3,3,0,3,5,0,0,0,0,5,2,2,2,5,5,0,0,0,0
"203","1年","バレーボール","男性",3,3,3,4,4,4,3,3,3,3,2,4,"コミュニケーションを取る",4,5,5,2,2,2,5,5,5,5,5,5,4,4,4,2,5,1,4,1,1,5,4,3,3,3,5,4,4,1,1,5,1,1,3
"204","8","バスケットボール","男性",3,3,3,4,3,3,3,3,3,3,4,3,"思考してプレーをすること",4,5,2,2,2,2,5,4,4,5,4,4,5,3,4,1,4,3,3,3,3,3,1,1,4,3,4,2,4,4,1,4,1,1,3
"205","6","ソフトボール","男性",2,2,2,3,2,3,3,3,1,1,1,2,"勝利",1,2,2,2,2,2,3,4,4,4,3,5,2,2,3,1,4,1,2,2,2,3,3,1,3,4,4,4,3,2,2,3,2,1,3
"206","11年","野球","男性",3,4,3,3,3,3,3,2,3,3,1,3,"試合に勝つために、練習の質をあげたり、一人一人の意識を同じ方向に向くように自主練はするが全体練習を大事にしています。全国大会出場が目標です。",3,3,2,2,2,4,4,3,3,3,4,4,4,3,4,4,4,2,4,1,1,4,4,4,4,4,4,4,4,3,5,4,2,3,1
"207","5年","硬式野球","男性",1,1,1,2,3,3,1,1,0,0,3,2,"他人と協力して勝利を目指す",2,4,2,2,2,4,2,2,2,2,4,2,4,2,4,1,3,1,1,1,1,1,3,1,3,1,3,1,3,0,0,3,0,0,1
"208","10年","野球","男性",2,1,1,2,2,3,2,3,2,2,2,2,"大会優勝",0,0,0,0,1,1,4,4,3,4,6,6,6,6,6,4,3,3,2,2,2,3,4,3,3,5,5,3,4,3,3,2,3,2,2
"209","13年","バスケットボール","男性",2,2,2,2,2,2,2,2,2,2,2,2,"取り組んでいない",2,2,2,4,2,2,4,2,5,3,2,4,2,2,2,4,2,2,3,2,1,3,3,2,4,2,4,3,4,2,1,3,0,2,2
"210","15年","バドミントン","男性",3,1,2,4,2,3,4,3,1,1,0,3,"全国大会個人、団体共に出場",0,4,1,4,2,4,6,3,2,4,6,6,0,4,4,5,5,2,4,3,3,5,5,4,3,2,5,2,5,2,2,4,1,1,2
"211","12年","バドミントン","女性",1,1,1,1,4,4,4,4,0,1,1,4,"団体戦でシングルスプレイヤーととて確実に1勝できるエース的存在になる!!",2,2,2,0,0,4,4,4,4,4,6,6,6,6,4,4,5,1,3,1,1,5,4,1,5,3,5,1,5,1,2,4,4,4,4
"212","18年","合気道","女性",3,3,3,2,3,4,3,3,2,3,3,2,"健康の保持増進",1,1,0,1,0,5,4,3,4,3,4,4,6,2,3,2,4,3,2,2,2,3,2,4,2,3,4,4,1,1,0,5,0,0,4
"213","5年","ボディビル","男性",4,0,4,4,4,4,4,3,0,0,4,4,"審査員と見に来てくれたお客さんを感動させる",0,0,0,3,0,6,6,0,6,1,6,6,0,0,6,5,5,5,5,5,5,5,5,5,5,5,5,0,5,0,0,5,0,0,5
"214","14","フェンシング","女性",1,1,1,3,2,3,2,3,1,1,1,2,"オリンピックでメダルをとる",1,2,1,4,1,4,4,4,3,4,5,6,6,1,4,3,5,5,1,2,5,5,5,4,4,5,4,2,3,3,3,3,3,5,4
"215","14","サッカー","男性",4,4,4,4,4,4,4,4,4,4,4,4,"みんなと強調して勝ちとゆう目標のため",0,0,0,0,0,0,6,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"216","7","柔道","男性",0,0,0,4,2,3,1,0,0,0,0,1,"日本一になる。",0,3,6,6,0,6,6,6,3,6,6,6,0,6,6,5,0,2,0,0,0,3,0,0,5,5,5,2,3,0,0,0,0,0,0
"217","14","柔道","男性",0,0,2,0,2,2,1,4,0,1,0,0,"日本一",0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,5,0,5,0,0,5,5,0,5,5,5,3,5,0,0,5,0,0,5
"218","14","柔道","女性",3,3,4,4,3,3,3,2,3,2,3,4,"全日本Ｂ強化に上がる。",2,1,2,0,1,1,5,2,3,4,5,6,3,2,4,4,5,3,4,2,3,4,4,3,4,4,5,4,4,1,3,4,1,4,4
"219","13","柔道","男性",1,1,2,1,3,2,3,3,1,1,2,1,"校内予選を勝ち抜いて東京都学生 出場",0,0,2,1,1,0,2,2,2,4,4,6,6,6,6,4,3,1,5,2,4,3,5,5,4,5,4,2,4,0,0,4,0,2,4
"221","5年","硬式テニス","男性",1,0,1,2,1,2,1,1,1,0,1,1,"相手の行動を予測し、その後の自分自身の行動を考えること。",1,1,2,4,5,3,5,4,5,1,0,4,1,0,1,4,3,5,1,4,4,0,2,1,1,3,2,2,2,4,5,2,5,1,1
"222","9","ソフトテニス","女性",1,1,1,2,0,1,3,3,2,2,2,2,"前衛のポジションを完璧にする",2,4,2,2,3,3,3,1,4,5,4,4,4,3,3,1,3,2,2,3,3,2,4,2,3,3,3,1,3,3,2,2,2,2,2
"223","7","ソフトテニス","女性",1,0,1,1,2,3,2,2,0,1,2,1,"人から応援されるような選手になること",0,0,3,0,0,6,5,2,4,2,3,3,2,4,3,4,3,5,3,2,3,1,4,2,3,4,4,2,4,5,3,4,1,0,4
